message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""ed96abc7-55f8-4534-a8c2-973562272e16"",""replica"":""f801f6e4-8c45-4f0e-8e70-094d9e6844b3""}",2026-04-29T01:48:07.136794851Z
INFO:livekit.agents:starting worker,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""ed96abc7-55f8-4534-a8c2-973562272e16"",""replica"":""f801f6e4-8c45-4f0e-8e70-094d9e6844b3""}",2026-04-29T01:48:09.636911403Z
starting worker,info,"{""level"":""info"",""timestamp"":""2026-04-29T01:48:09.476200+00:00"",""name"":""livekit.agents"",""version"":""1.5.6"",""rtc-version"":""1.1.5""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""ed96abc7-55f8-4534-a8c2-973562272e16"",""replica"":""f801f6e4-8c45-4f0e-8e70-094d9e6844b3""}",2026-04-29T01:48:09.636927334Z
INFO:livekit.agents:plugin registered,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""ed96abc7-55f8-4534-a8c2-973562272e16"",""replica"":""f801f6e4-8c45-4f0e-8e70-094d9e6844b3""}",2026-04-29T01:48:09.636933976Z
plugin registered,info,"{""level"":""info"",""timestamp"":""2026-04-29T01:48:09.476458+00:00"",""name"":""livekit.agents"",""plugin"":""livekit.plugins.google"",""version"":""1.5.6""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""ed96abc7-55f8-4534-a8c2-973562272e16"",""replica"":""f801f6e4-8c45-4f0e-8e70-094d9e6844b3""}",2026-04-29T01:48:09.636941304Z
INFO:livekit.agents:plugin registered,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""ed96abc7-55f8-4534-a8c2-973562272e16"",""replica"":""f801f6e4-8c45-4f0e-8e70-094d9e6844b3""}",2026-04-29T01:48:09.636948264Z
plugin registered,info,"{""level"":""info"",""timestamp"":""2026-04-29T01:48:09.476563+00:00"",""name"":""livekit.agents"",""plugin"":""livekit.plugins.bey"",""version"":""1.5.6""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""ed96abc7-55f8-4534-a8c2-973562272e16"",""replica"":""f801f6e4-8c45-4f0e-8e70-094d9e6844b3""}",2026-04-29T01:48:09.636956182Z
INFO:livekit.agents:preloading plugins,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""ed96abc7-55f8-4534-a8c2-973562272e16"",""replica"":""f801f6e4-8c45-4f0e-8e70-094d9e6844b3""}",2026-04-29T01:48:09.636963683Z
preloading plugins,info,"{""level"":""info"",""timestamp"":""2026-04-29T01:48:09.476644+00:00"",""name"":""livekit.agents"",""packages"":[""livekit.plugins.google"",""livekit.plugins.bey"",""av""]}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""ed96abc7-55f8-4534-a8c2-973562272e16"",""replica"":""f801f6e4-8c45-4f0e-8e70-094d9e6844b3""}",2026-04-29T01:48:09.636970893Z
INFO:livekit.agents:HTTP server listening on :8081,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""ed96abc7-55f8-4534-a8c2-973562272e16"",""replica"":""f801f6e4-8c45-4f0e-8e70-094d9e6844b3""}",2026-04-29T01:48:09.636983970Z
