message,severity,attributes,tags,timestamp
initializing process,info,"{""level"":""info"",""timestamp"":""2026-04-28T22:51:30.360555+00:00"",""name"":""livekit.agents"",""pid"":108}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""7b47538e-4103-4c62-9503-9c72fd20bb7a"",""replica"":""7280af3c-7c58-47bf-8d16-cf41be5c5e0f""}",2026-04-28T22:51:31.652840353Z
INFO:livekit.agents:initializing process,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""7b47538e-4103-4c62-9503-9c72fd20bb7a"",""replica"":""7280af3c-7c58-47bf-8d16-cf41be5c5e0f""}",2026-04-28T22:51:31.652846476Z
INFO:livekit.agents:process initialized,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""7b47538e-4103-4c62-9503-9c72fd20bb7a"",""replica"":""7280af3c-7c58-47bf-8d16-cf41be5c5e0f""}",2026-04-28T22:51:31.652871454Z
process initialized,info,"{""level"":""info"",""timestamp"":""2026-04-28T22:51:30.474893+00:00"",""name"":""livekit.agents"",""pid"":108,""elapsed_time"":0.11}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""7b47538e-4103-4c62-9503-9c72fd20bb7a"",""replica"":""7280af3c-7c58-47bf-8d16-cf41be5c5e0f""}",2026-04-28T22:51:31.652885365Z
INFO:livekit.agents:registered worker,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""7b47538e-4103-4c62-9503-9c72fd20bb7a"",""replica"":""7280af3c-7c58-47bf-8d16-cf41be5c5e0f""}",2026-04-28T22:51:31.652895309Z
process initialized,info,"{""level"":""info"",""timestamp"":""2026-04-28T22:51:30.483829+00:00"",""name"":""livekit.agents"",""pid"":106,""elapsed_time"":0.13}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""7b47538e-4103-4c62-9503-9c72fd20bb7a"",""replica"":""7280af3c-7c58-47bf-8d16-cf41be5c5e0f""}",2026-04-28T22:51:31.652896541Z
INFO:livekit.agents:process initialized,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""7b47538e-4103-4c62-9503-9c72fd20bb7a"",""replica"":""7280af3c-7c58-47bf-8d16-cf41be5c5e0f""}",2026-04-28T22:51:31.652905928Z
registered worker,info,"{""level"":""info"",""timestamp"":""2026-04-28T22:51:30.528209+00:00"",""name"":""livekit.agents"",""agent_name"":""mentoria-agent"",""id"":""AW_JHcT2mYwQSZg"",""url"":""wss://mentoria-lumci8sc.livekit.cloud"",""region"":""US East B"",""protocol"":17}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""7b47538e-4103-4c62-9503-9c72fd20bb7a"",""replica"":""7280af3c-7c58-47bf-8d16-cf41be5c5e0f""}",2026-04-28T22:51:31.652917448Z
INFO:livekit.agents:received job request,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""7b47538e-4103-4c62-9503-9c72fd20bb7a"",""replica"":""7280af3c-7c58-47bf-8d16-cf41be5c5e0f""}",2026-04-28T22:52:02.991588965Z
received job request,info,"{""level"":""info"",""timestamp"":""2026-04-28T22:51:56.103250+00:00"",""name"":""livekit.agents"",""job_id"":""AJ_dFKseRnNS3iW"",""dispatch_id"":""AD_t9WCLuReNdTv"",""room"":""mentoria-f6aedab4-603a-4b60-9a13-eda8cc4832b9-cdcd93ad"",""room_id"":""RM_J98unCJba5uL"",""agent_name"":""mentoria-agent"",""resuming"":false,""enable_recording"":false}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""7b47538e-4103-4c62-9503-9c72fd20bb7a"",""replica"":""7280af3c-7c58-47bf-8d16-cf41be5c5e0f""}",2026-04-28T22:52:02.991595534Z
